Arts,Adapted/Integrated,Onsite Registration,Multi Purpose Room(s),Skating Rink,Gymnasium,Phone #,Facility Name,Skating Lessons,Latitude,General Interest,Swimming Pool,Address,Swimming Lessons,Preschool,Fitness Centre,Leadership/Youth,Weight Room,Longitude,Fitness,Camps,Sports,Older Adults,Other Amenities (see legend),Accessibility,Map #,Priority Centre,Map Grid #
,,,,Indoor  ,,416-394-2734,Phil White Arena,,0.0,,,"443 Arlington Ave,Toronto,Ontario,Canada",,,,,,0.0,,25,41,,,Partial,27,,C3
,,,,Outdoor,Yes,416-392-0753,Regent Park North RC,,0.0,53,,"415 Gerrard St E,Toronto,Ontario,Canada",,,,,,0.0,,26,53,,"1,3",,28,Yes,F7
53,,,Yes,Outdoor,Yes,416-392-5490,Regent Park South CC,,43.6593992,53,,"203 Sackville Green,Toronto,Ontario,Canada",,,,53,Yes,-79.3625969,53,26,53,,"3,8",Partial,29,Yes,G7
54,,,,,,416-392-6794,Riverdale Farm/Park,,43.6672404,54,,"201 Winchester St,Toronto,Ontario,Canada",,54,,,,-79.3618320,,26,"39,54",30,,Partial,30,,F7
54,18,,Yes,,Yes,416-392-0734,S.H. Armstrong CRC,,43.6658422,54,Indoor,"56 Woodfield Rd,Toronto,Ontario,Canada",74,54,,54,,-79.3215858,54,26,54,,8,Partial,31,,G9
,18,Yes,,,Yes,416-392-0335,Scadding Court CC,,43.6510393,,Indoor,"707 Dundas St W,Toronto,Ontario,Canada","66,74,82",,,,,-79.4051065,54,,,,,Partial,32,Yes,H3
54,,,Yes,,Yes,416-396-2857,Secord CC,,43.6914554,54,,"91 Barrington Ave,Toronto,Ontario,Canada",,54,,54,,-79.3017454,54,26,54,,"8,12",Partial,33,Yes,E11
55,18,Yes,Yes,,Yes,416-392-1347,St. Lawrence CRC,,43.6495940,55,Indoor,"230 The Esplanade,Toronto,Ontario,Canada","66,75,82",55,Yes,55,Yes,-79.3649475,55,26,55,30,"8,16",Partial,34,,H7
55,18,,Yes,,,416-396-2842,Stan Wadlow Clubhouse/Park,,43.6971138,13,,"373 Cedarvale Ave,Toronto,Ontario,Canada",,55,,,,-79.3145969,55,27,,30,"1,8,11",Full,35,,D11
,,,,Indoor Private,,416-694-6893,Ted Reeves Arena,,43.6844146,,,"175 Main St,Toronto,Ontario,Canada",,,,,,-79.3002417,,,,,,Partial,36,,F12
,,,,,Yes,416-392-0199,Terry Fox CC,,43.6875451,13,,"2 Gledhill Ave,Toronto,Ontario,Canada",,,,,,-79.3091378,55,,55,,,Full,37,,E11
,,,,,,416-392-8192,Toronto Island Recreation,,43.6532260,,,"9 Queen’s Quay W, Ferry Docks,Toronto,Ontario,Canada",,55,,,,-79.3831843,55,27,,,,Partial,38,,H5
56,19,Yes,Yes,Outdoor,Yes,416-392-0743,Trinity CRC/Bellwood Park,,43.6459667,,Indoor,"155 Crawford St,Toronto,Ontario,Canada","75,83",56,Yes,,Yes,-79.4153307,56,27,56,31,"1,2,13,15,17",Full,39,,G3
57,18,Yes,,Outdoor,Yes,416-392-0039,Wallace Emerson CC/Park,,43.6669248,57,Indoor,"1260 Dufferin St,Toronto,Ontario,Canada","66,76,83",57,Yes,,Yes,-79.4396818,57,28,57,31,,Partial,40,,E2
58,18,,Yes,,Yes,416-392-0227,Wellesley CC,,43.6675062,58,,"495 Sherbourne St,Toronto,Ontario,Canada",,,Yes,58,Yes,-79.3746604,58,28,58,31,"12,16",Full,41,Yes,F7
,,,,Indoor Private,,416-392-0088,William H Bolton Arena,,43.6710977,,,"40 Rossmore Rd,Toronto,Ontario,Canada",,,,,,-79.4149498,,,,,,Partial,42,,D3
58,,,,Outdoor,,416-392-0616,Withrow Clubhouse/ Field House,,43.6737773,,,"725 Logan Ave,Toronto,Ontario,Canada",,58,,,,-79.3463409,58,28,58,,"1,12,13",Partial,43,,G8
